Country;Code;ContinentCode;Year;Month;GDP billion currency units;Money supply billion currency units;Unemployment rate percent;Stock market index
USA;USA;NA;2022;1;;21636.7;4;
USA;USA;NA;2022;2;;21590.3;3.8;
USA;USA;NA;2022;3;6096.68;21855.8;3.6;
USA;USA;NA;2022;4;;21860.3;3.6;
USA;USA;NA;2022;5;;21590.3;3.6;
USA;USA;NA;2022;6;6220.73;21645.1;3.6;
USA;USA;NA;2022;7;;21651.9;;
USA;USA;NA;2022;8;;;;
USA;USA;NA;2022;9;;;;
USA;USA;NA;2022;10;;;;
USA;USA;NA;2022;11;;;;
USA;USA;NA;2022;12;;;;
